tissue,resolutoin,markers,names,manual_CLname,manual_CLID
dental,epi,"KRT13, KRT6A, KRT16, SPRR1B, S100A8, A2ML1, SPINK5, AC068051.1, SLC24A3, KLF5, NEAT1, DSC2, PLD1, PPP2R2B, RBM47, MEIS2, PKP1, PPL, DSP, DSG3, ANXA2, ZBTB7C, SLC22A23, CAST, MALAT1, ANXA1, MPP7, MEIS1, TACC2, ADGRL2, MTSS1, JUP, TRIM29, FAM129B, MYH14, RAB10, SOX6, S100A11, EZR, NCKAP5, NEBL, DIP2B, NPEPPS, TRPS1, UBC, MAGI3, ELL2, ABLIM1, TMOD3, PERP, SVIL, PITX1, CDH1, EGFR, MEG8, PPM1L, IL1RAPL1, TSPAN5, ARHGAP32, KRT19, IGF2BP3, RAB11FIP1, ARL15, JARID2, FER, FOSB, CUX1, SASH1, CAMK1D, UTRN, SESN3, PARD3, PDZD2, ROBO2, AHNAK, PABPC1, KIAA1671, NCOA2, DLG1, SMARCA4, SH3D19, YWHAZ, PBX1, EXOC6B, KDM2A, RPL11, MEG3, RPS6, FOXN3, ACTG1, UBE2H, NEDD4L, FAF1, ACTB, LINC00511, ZSWIM6, IGF2BP2, MYO9A, MED13L",Oral Epithelium,oral mucosa squamous cell,CL:0002170
dental,epi,"KRT17, LINC01060, KRT5",Dental Epithelium,preameloblast,CL:0007000
dental,epi,"COL3A1, COL1A2, COL1A1, SATB2, VIM, LSAMP, SOX5, RUNX2, CDH12, PTN, VCAN, PTPRD, NRXN1, CDH11, ROBO1, COL6A2, MDK, HDAC9, SLIT3, TMTC2, PRKG1, CACNB2, IGFBP5, KAZN, RPLP1, CD81, ACTB, SPARC, RPLP2, RPL37A, PDE5A, NFIC, RPL13, DMD, RPL18, PTCH1, RPS8, NRG3, GJA1, FBXL7, PHIP",Enamel Knot,dental papilla cell,CL:0000345
dental,epi,"ADAMTS17, HMGA2, FGFR2, NFIA, BNC2, FLRT2, MIR99AHG, KIAA1217, SETBP1, CUX1, LGR4, CUX2, CADM1, FRMD4B, FRAS1, CALN1, ARHGAP24, PBX1, PARD3B, ADGRL3, JMJD1C",Stratum IntermediumI,preameloblast,CL:0007000
dental,epi,"ANK3, MBD5, SLC20A2, RERE, RORA, AFF3, NXN, ZNF609, PATJ, MSI2, LAMB1",Cervicala Loop,inner root sheath cell,CL:0002560
dental,epi,"ALCAM, MAF, GPC3, ANK2, KRT5, TUBA1A, DSP, ADGRL3, MARCH1, SLC44A5, NELL1, LRIG3, KRT8, NCKAP5, COL18A1, SOX6, STOX2, PITX2, PERP, MAP7, YWHAZ, IGFBP5, EGFR, DLGAP1, SPARC, C5orf66, SESN3, TLL1, RPLP1, ACTG1, PCDH7, PITX1, EFNA5, KRT14, KRT17, EZR, CDH1, KRT19, NAALADL2, FGFR2, COBLL1, CD9, SDC1, DSG2, MIR31HG, COL5A1, LRRC7, ASTN2, UST, FOXP1, LTBP4, CUL3, CYTH1, UTRN, TUBB, SCD5, RPL3, CCSER1, UBE2H, ANKS1A, RPL19, HSP90AA1, TMSB10, RBFOX1, COL17A1, PPM1L, CD81, RPS9, ANKH, RPL13A, NEGR1",Outer Enamel Epi.,outer root sheath cell,CL:0002561
dental,epi,"LPP, RBM6, ROR2, RERE, KRT19, MACF1, MPPED1, EFNA5, TRIO, GTF2IRD1, EXOC6B, LINC01060, CELF2, ENOX1, MEG3, KRT17, AHCYL2",Stratum IntermediumO,preameloblast,CL:0007000
dental,epi,"UNC5C, SLC20A2, MYO16, RYR2, SHH, COL25A1, ZNF704, DACH1, VWDE, KIF5C, NUDT4, AC109466.1, MGAT5, CEMIP2, MAPK10, MPPED2, ADAMTS19, ZNF521, FHOD3, IL17RD, SEMA3A, NELL2, EPHA4, COLEC12, AFF3, LINC00511, GPHN, TENM2, DYNC1I1, STIM2, TCF4, FRAS1, PKP4, MSI2, TRPM3, LUZP2, RORA, FAT3, AUTS2, COL5A2, DCC, ZNF609, AC016205.1, ROR1, FREM1, ARHGEF3, ASTN2, SLC35F3, TENM4, MAP2, NLGN1, SULF1, TNRC6C, LAMB1, TENM3, FREM2, AFF1, FGFR1, MAML3, ZNRF3, RAD51B, PHF14, CTNNB1, CADM1, FAF1, TTC28, EIF4G3",Inner Enamel Epi.,preameloblast,CL:0007000
dental,epi,"AMBN, AMELX, ENAM, AMELY, PLOD2, DSPP, SLC13A5, MMP20, HIP1, ARHGAP6, LAMC2, AGAP1, SH3PXD2A, DLGAP4, FBLN1, FNDC3B, FGFR1, SHANK2, KRT19, LARGE1",Secretary Ameloblast,ameloblast,CL:0000059
dental,epi,"KRT13, KRT6A, KRT16, SPRR1B, S100A8, A2ML1, SPINK5, AC068051.1, SLC24A3, KLF5, NEAT1, DSC2, PLD1, PPP2R2B, RBM47, MEIS2, PKP1, PPL, DSP, DSG3, ANXA2, ZBTB7C, SLC22A23, CAST, MALAT1, ANXA1, MPP7, MEIS1, TACC2, ADGRL2, MTSS1, JUP, TRIM29, FAM129B, MYH14, RAB10, SOX6, S100A11, EZR, NCKAP5, NEBL, DIP2B, NPEPPS, TRPS1, UBC, MAGI3, ELL2, ABLIM1, TMOD3, PERP, SVIL, PITX1, CDH1, EGFR, MEG8, PPM1L, IL1RAPL1, TSPAN5, ARHGAP32, KRT19, IGF2BP3, RAB11FIP1, ARL15, JARID2, FER, FOSB, CUX1, SASH1, CAMK1D, UTRN, SESN3, PARD3, PDZD2, ROBO2, AHNAK, PABPC1, KIAA1671, NCOA2, DLG1, SMARCA4, SH3D19, YWHAZ, PBX1, EXOC6B, KDM2A, RPL11, MEG3, RPS6, FOXN3, ACTG1, UBE2H, NEDD4L, FAF1, ACTB, LINC00511, ZSWIM6, IGF2BP2, MYO9A, MED13L",Oral Epithelium,oral mucosa squamous cell,CL:0002170
